UNITID,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,ADMCON10,ADMCON11,ADMCON12,XAPPLCN,APPLCN,XAPPLCNM,APPLCNM,XAPPLCNW,APPLCNW,XAPPLCNAN,APPLCNAN,XAPPLCNUN,APPLCNUN,XADMSSN,ADMSSN,XADMSSNM,ADMSSNM,XADMSSNW,ADMSSNW,XADMSSNAN,ADMSSNAN,XADMSSNUN,ADMSSNUN,XENRLT,ENRLT,XENRLM,ENRLM,XENRLW,ENRLW,XENRLAN,ENRLAN,XENRLUN,ENRLUN,XENRLFT,ENRLFT,XENRLFTM,ENRLFTM,XENRLFTW,ENRLFTW,XENRLFTAN,ENRLFTAN,XENRLFTUN,ENRLFTUN,XENRLPT,ENRLPT,XENRLPTM,ENRLPTM,XENRLPTW,ENRLPTW,XENRLPTAN,ENRLPTAN,XENRLPTUN,ENRLPTUN,XSATNUM,SATNUM,XSATPCT,SATPCT,XACTNUM,ACTNUM,XACTPCT,ACTPCT,XSATVR25,SATVR25,XSATVR50,SATVR50,XSATVR75,SATVR75,XSATMT25,SATMT25,XSATMT50,SATMT50,XSATMT75,SATMT75,XACTCM25,ACTCM25,XACTCM50,ACTCM50,XACTCM75,ACTCM75,XACTEN25,ACTEN25,XACTEN50,ACTEN50,XACTEN75,ACTEN75,XACTMT25,ACTMT25,XACTMT50,ACTMT50,XACTMT75,ACTMT75   
100654,1,3,1,3,3,3,5,1,3,3,3,3,R,15628,R,5247,R,10381,A,,R,0.0,R,10349.0,R,3409.0,R,6940.0,A,,R,0.0,R,1956.0,R,799.0,R,1157.0,A,,R,0.0,R,1944.0,R,793.0,R,1151.0,A,,R,0.0,R,12.0,R,6.0,R,6.0,A,,R,0.0,R,462.0,R,24.0,R,1312.0,R,67.0,R,420.0,R,480.0,R,540.0,R,390.0,R,460.0,R,520.0,R,14.0,R,17.0,R,19.0,R,13.0,R,15.0,R,20.0,R,14.0,R,16.0,R,17.0
100663,1,3,1,1,3,3,5,3,3,3,3,3,R,10919,R,3973,R,6918,A,,R,28.0,R,9655.0,R,3329.0,R,6301.0,A,,R,25.0,R,2095.0,R,694.0,R,1398.0,A,,R,3.0,R,2057.0,R,679.0,R,1375.0,A,,R,3.0,R,38.0,R,15.0,R,23.0,A,,R,0.0,R,112.0,R,5.0,R,1021.0,R,49.0,R,570.0,R,640.0,R,700.0,R,560.0,R,620.0,R,700.0,R,22.0,R,26.0,R,30.0,R,22.0,R,26.0,R,33.0,R,20.0,R,24.0,R,27.0
100706,1,3,1,3,3,3,5,1,3,3,3,3,R,6074,R,2984,R,3090,S,,S,,R,4510.0,R,2374.0,R,2136.0,S,,S,,R,1176.0,R,771.0,R,405.0,S,,S,,R,1162.0,R,764.0,R,398.0,S,,S,,R,14.0,R,7.0,R,7.0,S,,S,,R,68.0,R,6.0,R,686.0,R,58.0,R,595.0,R,650.0,R,700.0,R,600.0,R,680.0,R,740.0,R,25.0,R,28.0,R,31.0,R,24.0,R,28.0,R,33.0,R,24.0,R,27.0,R,29.0
100724,1,3,1,3,3,3,5,1,3,1,1,5,R,5346,R,1810,R,3490,S,,S,,R,5113.0,R,1707.0,R,3362.0,S,,S,,R,951.0,R,353.0,R,589.0,S,,S,,R,909.0,R,341.0,R,560.0,S,,S,,R,42.0,R,12.0,R,29.0,S,,S,,R,88.0,R,9.0,R,312.0,R,33.0,R,444.0,R,489.0,R,538.0,R,421.0,R,477.0,R,531.0,R,16.0,R,18.0,R,20.0,R,15.0,R,18.0,R,21.0,R,15.0,R,17.0,R,19.0
100751,1,5,1,1,3,3,5,1,3,5,5,3,R,58418,R,23331,R,35087,A,,R,0.0,R,44295.0,R,17444.0,R,26851.0,A,,R,0.0,R,8279.0,R,3520.0,R,4759.0,A,,R,0.0,R,8215.0,R,3483.0,R,4732.0,A,,R,0.0,R,64.0,R,37.0,R,27.0,A,,R,0.0,R,1468.0,R,18.0,R,3756.0,R,45.0,R,590.0,R,640.0,R,700.0,R,580.0,R,640.0,R,700.0,R,24.0,R,27.0,R,31.0,R,23.0,R,27.0,R,33.0,R,22.0,R,26.0,R,29.0
100830,1,5,1,3,3,3,5,1,3,3,3,3,R,2213,R,711,R,1501,S,,S,,R,2050.0,R,662.0,R,1387.0,S,,S,,R,413.0,R,163.0,R,250.0,S,,S,,R,408.0,R,162.0,R,246.0,S,,S,,R,5.0,R,1.0,R,4.0,S,,S,,R,11.0,R,3.0,R,237.0,R,57.0,R,500.0,R,540.0,R,595.0,R,500.0,R,560.0,R,615.0,R,18.0,R,21.0,R,24.0,R,18.0,R,21.0,R,25.0,R,16.0,R,18.0,R,23.0
100858,1,5,1,1,5,3,5,1,3,3,3,3,R,48178,R,19626,R,28552,A,,R,0.0,R,24314.0,R,10290.0,R,14024.0,A,,R,0.0,R,5935.0,R,2849.0,R,3086.0,A,,R,0.0,R,5916.0,R,2840.0,R,3076.0,A,,R,0.0,R,19.0,R,9.0,R,10.0,A,,R,0.0,R,1024.0,R,17.0,R,4211.0,R,71.0,R,630.0,R,660.0,R,690.0,R,610.0,R,650.0,R,690.0,R,25.0,R,28.0,R,31.0,R,25.0,R,28.0,R,33.0,R,24.0,R,26.0,R,29.0
100937,1,5,5,5,5,5,5,5,3,5,5,5,R,3987,R,1840,R,2147,S,,S,,R,2071.0,R,939.0,R,1132.0,S,,S,,R,148.0,R,90.0,R,58.0,S,,S,,R,148.0,R,90.0,R,58.0,S,,S,,A,,A,,A,,S,,S,,R,13.0,R,9.0,R,60.0,R,41.0,R,580.0,R,610.0,R,670.0,R,570.0,R,620.0,R,670.0,R,21.0,R,24.0,R,27.0,R,19.0,R,24.0,R,28.0,R,19.0,R,23.0,R,26.0
101189,1,3,1,3,3,3,5,1,3,3,3,3,R,1786,R,913,R,873,A,,R,0.0,R,1181.0,R,616.0,R,565.0,A,,R,0.0,R,240.0,R,151.0,R,89.0,A,,R,0.0,R,225.0,R,147.0,R,78.0,A,,R,0.0,R,15.0,R,4.0,R,11.0,A,,R,0.0,R,28.0,R,12.0,R,176.0,R,73.0,R,463.0,R,510.0,R,585.0,R,423.0,R,480.0,R,550.0,R,17.0,R,19.0,R,23.0,R,16.0,R,19.0,R,23.0,R,16.0,R,17.0,R,21.0
101365,1,3,1,3,3,3,3,1,1,3,3,3,R,127,R,14,R,113,R,0.0,R,0.0,R,120.0,R,13.0,R,107.0,A,,R,0.0,R,83.0,R,9.0,R,74.0,A,,R,0.0,R,19.0,R,1.0,R,18.0,A,,R,0.0,R,64.0,R,8.0,R,56.0,A,,R,0.0,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
